collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
42,1 1 1 1 1,0 -4 -4 -4 -4,16,baseline,34,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
42,1 1 1 1 1,0 -4 -4 -4 -4,16,hub,82,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
42,1 1 1 1 1,0 -4 -4 -4 -4,16,local,5,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
42,1 1 1 1 1,0 -4 -4 -4 -4,20,hub_local,34,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
43,1 1 1 1 1,0 -4 -4 -4 0,12,baseline,23,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
43,1 1 1 1 1,0 -4 -4 -4 0,12,local,9,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
43,1 1 1 1 1,0 -4 -4 -4 0,16,hub_local,10,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
44,1 1 1 1 1,0 -4 0 -4 -4,12,baseline,23,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
44,1 1 1 1 1,0 -4 0 -4 -4,12,local,7,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
44,1 1 1 1 1,0 -4 0 -4 -4,16,hub_local,10,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
45,1 1 1 1 1,0 -2 -4 -2 -4,16,hub_local,4,0 0 0 0 0;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
