mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq
99,frob2+rank+in_strength_distribution+in_out_strength_distribution,4,7776,6396,0.8225308641975309,0.7716499221734824
100,stable_rank+in_strength_distribution+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
101,frob2+stable_rank+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
102,rank+stable_rank+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
103,frob2+rank+stable_rank+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
104,singular_values+in_strength_distribution+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
105,frob2+singular_values+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
106,rank+singular_values+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
107,frob2+rank+singular_values+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
108,stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
109,frob2+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
110,rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
111,frob2+rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
112,out_strength_distribution+in_strength_distribution+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824
113,frob2+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,4,7776,6396,0.8225308641975309,0.7716499221734824
114,rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,4,7776,6396,0.8225308641975309,0.7716499221734824
115,frob2+rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7776,6396,0.8225308641975309,0.7716499221734824
116,stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
117,frob2+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
118,rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
119,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
120,singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
121,frob2+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
122,rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
123,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
124,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
125,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
126,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
127,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,7,7916,6628,0.8372915613946438,0.7783359275505872
128,out_strength_vector,1,11142,11084,0.9947944713695925,0.9946582708362813
129,frob2+out_strength_vector,2,11202,11202,1.0,1.0
130,rank+out_strength_vector,2,11158,11116,0.9962358845671268,0.9958964199801896
131,frob2+rank+out_strength_vector,3,11202,11202,1.0,1.0
132,stable_rank+out_strength_vector,2,11202,11202,1.0,1.0
133,frob2+stable_rank+out_strength_vector,3,11202,11202,1.0,1.0
134,rank+stable_rank+out_strength_vector,3,11202,11202,1.0,1.0
135,frob2+rank+stable_rank+out_strength_vector,4,11202,11202,1.0,1.0
136,singular_values+out_strength_vector,2,11202,11202,1.0,1.0
137,frob2+singular_values+out_strength_vector,3,11202,11202,1.0,1.0
138,rank+singular_values+out_strength_vector,3,11202,11202,1.0,1.0
139,frob2+rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0
140,stable_rank+singular_values+out_strength_vector,3,11202,11202,1.0,1.0
141,frob2+stable_rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0
142,rank+stable_rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0
143,frob2+rank+stable_rank+singular_values+out_strength_vector,5,11202,11202,1.0,1.0
144,out_strength_distribution+out_strength_vector,2,11142,11084,0.9947944713695925,0.9946582708362813
145,frob2+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
146,rank+out_strength_distribution+out_strength_vector,3,11158,11116,0.9962358845671268,0.9958964199801896
147,frob2+rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
148,stable_rank+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
149,frob2+stable_rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
150,rank+stable_rank+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
151,frob2+rank+stable_rank+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
152,singular_values+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
153,frob2+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
154,rank+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
155,frob2+rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
156,stable_rank+singular_values+out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
157,frob2+stable_rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
158,rank+stable_rank+singular_values+out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
159,frob2+rank+stable_rank+singular_values+out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
160,in_strength_distribution+out_strength_vector,2,11200,11198,0.9998214285714285,0.9997169944813924
161,frob2+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
162,rank+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
163,frob2+rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
164,stable_rank+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
165,frob2+stable_rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
166,rank+stable_rank+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
167,frob2+rank+stable_rank+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
168,singular_values+in_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
169,frob2+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
170,rank+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
171,frob2+rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
172,stable_rank+singular_values+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
173,frob2+stable_rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
174,rank+stable_rank+singular_values+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
175,frob2+rank+stable_rank+singular_values+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
176,out_strength_distribution+in_strength_distribution+out_strength_vector,3,11200,11198,0.9998214285714285,0.9997169944813924
177,frob2+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
178,rank+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
179,frob2+rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
180,stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
181,frob2+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
182,rank+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
183,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
184,singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
185,frob2+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
186,rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
187,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
188,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
189,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
190,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
191,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
192,in_out_strength_distribution+out_strength_vector,2,11202,11202,1.0,1.0
193,frob2+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
194,rank+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
195,frob2+rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
196,stable_rank+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
197,frob2+stable_rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
198,rank+stable_rank+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
199,frob2+rank+stable_rank+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
200,singular_values+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
201,frob2+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
202,rank+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
203,frob2+rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
204,stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
205,frob2+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
206,rank+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
207,frob2+rank+stable_rank+singular_values+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
208,out_strength_distribution+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
209,frob2+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
210,rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
211,frob2+rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
212,stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
213,frob2+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
214,rank+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
215,frob2+rank+stable_rank+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
216,singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
217,frob2+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
218,rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
219,frob2+rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
220,stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
221,frob2+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
222,rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
223,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
224,in_strength_distribution+in_out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0
225,frob2+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
226,rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
227,frob2+rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
228,stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
229,frob2+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
230,rank+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
231,frob2+rank+stable_rank+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
232,singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
233,frob2+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
234,rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
235,frob2+rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
236,stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
237,frob2+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
238,rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
239,frob2+rank+stable_rank+singular_values+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
240,out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,4,11202,11202,1.0,1.0
241,frob2+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
242,rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
243,frob2+rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
244,stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
245,frob2+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
246,rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
247,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
248,singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,5,11202,11202,1.0,1.0
249,frob2+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
250,rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
251,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
252,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,6,11202,11202,1.0,1.0
253,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
254,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,7,11202,11202,1.0,1.0
255,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution+out_strength_vector,8,11202,11202,1.0,1.0
256,in_strength_vector,1,10538,9928,0.9421142531789714,0.9528795811518325
257,frob2+in_strength_vector,2,10990,10812,0.9838034576888081,0.9747063817744446
258,rank+in_strength_vector,2,10724,10284,0.958970533383066,0.9755553983302674
259,frob2+rank+in_strength_vector,3,11056,10940,0.9895079594790159,0.9942691382481958
260,stable_rank+in_strength_vector,2,11182,11174,0.9992845644786263,0.9997877458610442
261,frob2+stable_rank+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442
262,rank+stable_rank+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442
263,frob2+rank+stable_rank+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442
264,singular_values+in_strength_vector,2,11182,11174,0.9992845644786263,0.9997877458610442
265,frob2+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442
266,rank+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442
267,frob2+rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442
268,stable_rank+singular_values+in_strength_vector,3,11182,11174,0.9992845644786263,0.9997877458610442
269,frob2+stable_rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442
270,rank+stable_rank+singular_values+in_strength_vector,4,11182,11174,0.9992845644786263,0.9997877458610442
271,frob2+rank+stable_rank+singular_values+in_strength_vector,5,11182,11174,0.9992845644786263,0.9997877458610442
272,out_strength_distribution+in_strength_vector,2,11178,11170,0.9992843084630524,0.9997877458610442
