mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
118,rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
119,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
120,singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
121,frob2+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
122,rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
123,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
124,stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
125,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
126,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
127,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution+in_out_strength_distribution,7,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
128,out_strength_vector,1,11142,11084,0.9947944713695925,0.9946582708362813,2516,0.01795472287275568
129,frob2+out_strength_vector,2,11202,11202,1.0,1.0,2562,0.0
130,rank+out_strength_vector,2,11158,11116,0.9962358845671268,0.9958964199801896,2536,0.010148321623731471
131,frob2+rank+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
132,stable_rank+out_strength_vector,2,11202,11202,1.0,1.0,2562,0.0
133,frob2+stable_rank+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
134,rank+stable_rank+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
135,frob2+rank+stable_rank+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
136,singular_values+out_strength_vector,2,11202,11202,1.0,1.0,2562,0.0
137,frob2+singular_values+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
138,rank+singular_values+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
139,frob2+rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
140,stable_rank+singular_values+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
141,frob2+stable_rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
142,rank+stable_rank+singular_values+out_strength_vector,4,11202,11202,1.0,1.0,2562,0.0
143,frob2+rank+stable_rank+singular_values+out_strength_vector,5,11202,11202,1.0,1.0,2562,0.0
144,out_strength_distribution+out_strength_vector,2,11142,11084,0.9947944713695925,0.9946582708362813,2516,0.01795472287275568
145,frob2+out_strength_distribution+out_strength_vector,3,11202,11202,1.0,1.0,2562,0.0
