future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
585,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
586,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
598,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
602,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
607,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
617,1,0,2,17,4,1,2,1,2,0,0,1,0,2,0,1 1 1 1 2
620,2,1,4,16,13,4,2,4,4,2,2,6,2,18,4,2 1 2 2 2
623,1,0,3,16,10,3,2,3,2,0,0,3,0,6,0,2 1 2 1 2
640,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
641,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
643,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
645,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
651,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
658,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
667,1,0,5,18,4,3,2,3,6,0,0,10,0,28,0,2 2 1 2 1
668,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
670,1,0,2,17,1,1,2,1,2,0,0,1,0,2,0,1 2 1 1 1
671,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
672,1,0,3,14,10,3,3,4,2,0,0,3,0,6,0,2 3 2 1 1
673,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
674,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
677,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
679,1,0,2,10,4,1,2,1,8,0,0,1,0,8,0,1 1 1 1 2
693,1,0,2,17,1,1,2,1,2,0,0,1,0,2,0,1 1 1 2 1
696,1,0,5,16,16,5,2,5,10,0,0,10,0,28,0,2 2 2 2 2
697,2,1,2,12,5,2,2,2,6,2,2,1,1,6,2,2 2 1 1 1
702,1,0,2,13,7,2,2,2,2,0,0,1,0,2,0,1 2 2 1 1
703,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
707,1,0,1,13,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
708,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
710,2,1,2,12,5,2,2,2,6,2,2,1,1,6,2,2 1 1 2 1
714,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
733,1,0,3,14,10,3,3,4,2,0,0,3,0,6,0,2 1 1 3 2
734,1,0,2,10,4,1,2,1,8,0,0,1,0,8,0,1 1 2 1 1
736,1,0,2,13,7,2,2,2,2,0,0,1,0,2,0,1 1 1 2 2
737,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
739,1,0,3,10,8,2,2,2,8,0,0,3,0,24,0,1 1 2 1 2
743,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
759,1,0,5,18,16,4,2,4,2,0,0,10,0,20,0,1 2 2 2 2
760,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
761,1,0,3,17,8,2,2,2,2,0,0,3,0,6,0,1 1 2 1 2
762,1,0,2,17,8,2,2,2,2,0,0,1,0,2,0,1 2 1 1 2
763,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
764,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
765,1,0,3,17,8,2,2,2,2,0,0,3,0,6,0,1 1 2 1 2
