future_id,chi,clique_rank,vertex_id,field_deltaW
819,3,2,1331,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
830,2,0,1355,0 1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
830,2,1,1576,0 1 0 0 0;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;0 0 0 0 0
907,2,0,1480,0 1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
907,2,1,1481,0 1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
1054,3,0,1634,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1054,3,1,1641,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;0 0 0 0 0
1054,3,2,1687,0 1 1 1 1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1273,2,0,1729,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
1273,2,1,1748,0 1 4 1 4;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
1280,2,0,1739,0 1 4 1 4;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1280,2,1,1759,0 1 4 1 4;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;-1 -1 -1 -1 0
1318,2,0,1966,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1318,2,1,2070,0 2 0 0 0;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1320,2,0,1838,0 2 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
1320,2,1,2013,0 2 0 0 0;-1 0 0 -1 -1;-1 -1 0 0 -1;0 0 0 0 2;-1 -1 -1 -1 0
1324,2,0,1825,0 2 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;1 1 1 0 4;-1 -1 -1 -1 0
1324,2,1,1971,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
1329,3,0,1979,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 -1;0 0 0 0 0
1329,3,1,1855,0 2 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
1329,3,2,1856,0 2 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 0;0 0 0 0 0
1374,3,0,1891,0 2 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;0 0 0 0 2;0 0 0 0 0
1374,3,1,1901,0 2 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 0 -1;0 0 0 0 2;-1 -1 -1 -1 0
1374,3,2,2046,0 2 0 0 0;-1 0 2 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
1632,2,0,2142,0 2 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1632,2,1,2143,0 2 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
1804,2,0,2219,0 3 0 0 0;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 1;0 0 0 0 0
1804,2,1,2233,0 3 0 0 0;-1 0 -1 -1 -1;0 0 0 1 0;0 0 0 0 1;0 0 0 0 0
1810,2,0,2237,0 3 0 0 0;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
1810,2,1,2238,0 3 0 0 0;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;0 0 0 0 0
1887,2,0,2299,0 3 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
1887,2,1,2300,0 3 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
2208,3,0,2429,0 4 1 1 1;-1 0 -1 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2208,3,1,2439,0 4 1 1 1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
2208,3,2,2478,0 4 1 1 1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
