future_id,chi,vertex_id,field_neg,field_zero,field_pos,field_sum,field_abs_sum,field_asym_l1,field_distinct,observed_actions,distinct_next_futures
384,2,1039,10,2,8,4,24,16,4,8,4
450,2,500,16,0,4,-5,27,15,3,8,4
450,2,501,12,4,4,-1,23,17,4,8,4
450,2,513,12,4,4,-1,23,17,4,14,7
450,2,1204,4,12,4,7,15,15,4,2,1
553,2,667,18,0,2,-16,20,4,2,4,2
553,2,668,14,4,2,-12,16,6,3,2,1
553,2,673,14,4,2,-12,16,6,3,2,1
553,2,674,10,8,2,-8,12,6,3,4,2
553,2,1208,8,10,2,-6,10,8,3,4,2
555,2,670,17,0,3,-14,20,6,2,4,2
555,2,677,9,8,3,-6,12,6,3,4,2
555,2,728,13,4,3,-10,16,10,3,4,2
555,2,1207,12,5,3,-9,15,9,3,2,1
576,2,693,17,0,3,-14,20,6,2,4,2
576,2,700,13,4,3,-10,16,10,3,4,2
576,2,708,9,8,3,-6,12,6,3,4,2
576,2,1213,12,5,3,-9,15,9,3,2,1
578,4,696,16,0,4,-12,20,8,2,8,4
578,4,697,12,4,4,-8,16,8,3,8,4
578,4,710,12,4,4,-8,16,8,3,8,4
578,4,732,2,14,4,2,6,6,3,8,4
578,4,1211,3,13,4,1,7,7,3,4,2
578,4,1218,3,13,4,1,7,7,3,4,2
581,2,714,9,7,4,-3,15,11,4,8,4
581,2,1212,3,13,4,3,9,9,4,4,2
581,2,1217,4,12,4,2,10,10,4,4,2
581,2,1219,4,12,4,2,10,10,4,2,1
620,2,737,9,7,4,-3,15,11,4,8,4
620,2,1221,4,12,4,2,10,10,4,2,1
620,2,1223,3,13,4,3,9,9,4,4,2
620,2,1224,4,12,4,2,10,10,4,4,2
697,2,782,12,0,8,0,24,12,3,32,16
697,2,1254,7,5,8,5,19,13,4,6,3
710,2,787,12,0,8,0,24,12,3,32,16
710,2,1246,7,5,8,5,19,13,4,6,3
768,2,1291,11,5,4,-1,21,17,4,10,5
768,2,1298,7,9,4,3,17,15,4,6,3
768,2,1308,4,12,4,6,14,14,4,2,1
778,2,1310,11,5,4,-1,21,17,4,10,5
778,2,1311,7,9,4,3,17,15,4,6,3
778,2,1312,4,12,4,6,14,14,4,2,1
807,2,1320,19,0,1,-18,20,2,2,16,8
807,2,1321,15,4,1,-14,16,6,3,6,3
807,2,1543,16,3,1,-15,17,5,3,4,2
807,2,1544,12,7,1,-11,13,7,3,6,3
807,2,1549,12,7,1,-11,13,7,3,4,2
810,2,1325,11,7,2,-9,13,9,3,6,3
810,2,1344,14,4,2,-12,16,8,3,8,4
810,2,1551,12,6,2,-10,14,8,3,6,3
810,2,1566,8,10,2,-6,10,8,3,4,2
819,3,1331,18,0,2,-16,20,4,2,14,7
819,3,1332,14,4,2,-12,16,8,3,16,8
819,3,1568,12,6,2,-10,14,8,3,8,4
819,3,1569,8,10,2,-6,10,8,3,10,5
830,2,1355,15,3,2,-11,19,9,4,12,6
