field_id,color_class,deltaW
60,462,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;4 4 4 0 7;1 1 1 1 0
61,463,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;5 5 5 0 5;3 3 3 3 0
62,80,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
63,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 -1;0 0 0 0 0
64,128,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 0;1 1 1 1 0
65,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;0 0 0 0 0;-1 -1 -1 -1 0
66,25,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;0 0 0 0 0;1 1 1 1 0
67,12,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;1 1 1 0 1;-1 -1 -1 -1 0
68,63,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;1 1 1 0 1;1 1 1 1 0
69,654,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;1 1 1 0 1;2 2 2 2 0
70,276,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;1 1 1 0 2;-1 -1 -1 -1 0
71,655,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;1 1 1 0 2;2 2 2 2 0
72,222,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 0 -1;2 2 2 0 2;-1 -1 -1 -1 0
73,78,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
74,28,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
75,57,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
76,172,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 1;0 0 0 0 0
77,66,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 0;-1 -1 -1 -1 0
78,115,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 0;0 0 0 0 0
79,32,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 0;1 1 1 1 0
80,86,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 1;0 0 0 0 0
81,42,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 1;1 1 1 1 0
82,172,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;0 0 0 0 3;-1 -1 -1 -1 0
83,87,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;1 1 1 0 1;-1 -1 -1 -1 0
84,243,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
85,43,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 -1;0 0 0 0 0
86,84,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
87,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
88,240,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;1 1 1 1 0
89,245,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;2 2 2 2 0
90,395,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;3 3 3 3 0
91,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 0;0 0 0 0 0
92,112,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 0;1 1 1 1 0
93,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
94,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;0 0 0 0 0
95,320,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;2 2 2 2 0
96,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 -1 0
97,24,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0
98,89,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 1;-1 -1 -1 -1 0
99,273,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 2;-1 -1 -1 -1 0
100,98,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0
101,98,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 3;0 0 0 0 0
102,72,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;0 0 0 0 3;2 2 2 2 0
103,53,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;1 1 1 0 1;-1 -1 -1 -1 0
104,63,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;1 1 1 0 1;1 1 1 1 0
105,155,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;1 1 1 0 4;-1 -1 -1 -1 0
106,222,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;2 2 2 0 2;-1 -1 -1 -1 0
107,182,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;2 2 2 0 5;-1 -1 -1 -1 0
108,132,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;2 2 2 0 5;0 0 0 0 0
109,685,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;3 3 3 0 6;-1 -1 -1 -1 0
110,78,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
111,78,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;-1 -1 -1 0 -1;0 0 0 0 0
112,55,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;-1 -1 -1 0 -1;1 1 1 1 0
113,66,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;0 0 0 0 0;-1 -1 -1 -1 0
114,78,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;1 1 1 0 1;-1 -1 -1 -1 0
115,464,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 1 0;2 2 2 0 3;-1 -1 -1 -1 0
116,243,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 2 0;-1 -1 -1 0 -1;0 0 0 0 0
117,243,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 2 0;0 0 0 0 0;-1 -1 -1 -1 0
118,96,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
119,172,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;1 1 1 1 0
120,30,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 3 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
121,74,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 3 0;0 0 0 0 0;-1 -1 -1 -1 0
122,18,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
123,238,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;0 0 0 0 0
124,49,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
125,314,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;2 2 2 2 0
126,341,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;3 3 3 3 0
